Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Intra-Pair (um),S - ES (um),S - Non-ES (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 5GHz),"K, S - ES (%)","K, S - Non-ES (%)"
B*,SL,"3, 8","Differential Clock (Gen3 and below support), eUSB2, USB2.0",75,88,200,300,78,,,-0.88,0.11,0.012
B*,SL,"3, 8","Differential Clock (Gen4 support), Differential Clock (Gen5 support), Differential Clock (PCH-CPU Support)",75,88,375,500,78,,,-0.88,0.002,0
B*,SL,"3, 8","CSI CPHY, CSI DPHY, eDP, HDMI",75,88,88,300,78,,,-0.88,1.3,0.012
B*,SL,"3, 8","CPU PCIe Gen4, CPU PCIe Gen5, DMI Gen5, PCH PCIe Gen1-4, PCH PCIe Gen5",75,88,375,375,78,,,-0.88,0.002,0.002
B*,SL,"3, 8","CNVIO3, TCP DP, TCP TBT5",75,88,375,375,78,,,-0.88,0.002,0.002
B*,SL,"3, 8","CPU USB3.2 Gen1, CPU USB3.2 Gen2, PCH USB3.2 Gen1, PCH USB3.2 Gen2, TCP USB3.2",75,88,300,300,78,,,-0.88,0.012,0.012
B*,SL,6,"Differential Clock (Gen3 and below support), eUSB2, USB2.0",75,88,200,300,80,,,-0.8,0.24,0.04
B*,SL,6,"Differential Clock (Gen4 support), Differential Clock (Gen5 support), Differential Clock (PCH-CPU Support)",75,88,375,500,80,,,-0.8,0.01,0.001
B*,SL,6,"CSI CPHY, CSI DPHY, eDP, HDMI",75,88,88,300,80,,,-0.81,1.93,0.04
B*,SL,6,"CPU PCIe Gen4, CPU PCIe Gen5, DMI Gen5, PCH PCIe Gen1-4, PCH PCIe Gen5",75,88,375,375,80,,,-0.8,0.24,0.01
B*,SL,6,"CNVIO3, TCP DP, TCP TBT5",75,88,375,375,80,,,-0.8,0.01,0.01
B*,SL,6,"CPU USB3.2 Gen1, CPU USB3.2 Gen2, PCH USB3.2 Gen1, PCH USB3.2 Gen2, TCP USB3.2",75,88,300,300,80,,,-0.8,0.04,0.04
M*,MS,"1, 10","CSI DPHY, eUSB2, USB2.0",110,100,300,300,80,,,-0.89,-0.26,0.32
M*,MS,"1, 10",Differential Clock (Gen3 and below support),110,100,300,375,80,,,-0.89,-0.26,0.19
M*,MS,"1, 10","Differential Clock (Gen4 support), Differential Clock (Gen5 support), Differential Clock (PCH-CPU Support)",110,100,500,760,80,,,-0.89,-0.14,0.035
M*,MS,"1, 10","CPU PCIe Gen4, HDMI, PCH PCIe Gen1-4, eDP",110,100,500,500,80,,,-0.89,-0.14,0.1
M*,MS,"1, 10","CPU PCIe Gen5, DMI Gen5, PCH PCIe Gen5",120,130,800,500,80,,,-0.86,-0.06,0.12
M*,MS,"1, 10","CNVIO3, TCP DP, TCP TBT5",110,100,800,800,80,,,-0.9,-0.05,0.03
M*,MS,"1, 10","CPU USB3.2 Gen1, CPU USB3.2 Gen2, PCH USB3.2 Gen1, PCH USB3.2 Gen2, TCP USB3.2",110,100,750,500,80,,,-0.9,-0.06,0.1
M*,MS,"1, 10",TCP TBT5 (Post-Channel),120,130,800,800,80,,,-0.86,-0.06,0.04
M*,MS,"1, 10",HDMI (Post-Channel),88,230,500,500,100,,,-0.86,-0.21,0.15
M*,SL,"3, 8","CSI DPHY, eDP, eUSB2, HDMI, USB2.0",75,115,300,300,80,,,-0.87,0.012,0.012
M*,SL,"3, 8",Differential Clock (Gen3 and below support),75,115,300,375,80,,,-0.87,0.012,0.002
M*,SL,"3, 8","Differential Clock (Gen4 support), Differential Clock (Gen5 support), Differential Clock (PCH-CPU Support)",75,115,375,500,80,,,-0.87,0.002,0
M*,SL,"3, 8","CPU PCIe Gen4, CPU PCIe Gen5, DMI Gen5, PCH PCIe Gen1-4, PCH PCIe Gen5",75,115,375,500,80,,,-0.87,0.002,0
M*,SL,"3, 8","CNVIO3, TCP DP, TCP TBT5",75,115,375,375,80,,,-0.87,0.002,0.002
M*,SL,"3, 8",CSI CPHY,80,170,170,500,80,,,-0.87,0.213,0
M*,SL,"3, 8","CPU USB3.2 Gen1, CPU USB3.2 Gen2, PCH USB3.2 Gen1, PCH USB3.2 Gen2, TCP USB3.2",75,115,450,500,80,,,-0.86,0.21,0
M*,SL,6,"CSI DPHY, eDP, eUSB2, HDMI, USB2.0",80,120,300,300,80,,,-0.78,0.04,0.04
M*,SL,6,Differential Clock (Gen3 and below support),80,120,300,375,80,,,-0.78,0.04,0.01
M*,SL,6,"Differential Clock (Gen4 support), Differential Clock (Gen5 support), Differential Clock (PCH-CPU Support)",80,120,375,500,80,,,-0.78,0.01,0.001
M*,SL,6,"CPU PCIe Gen4, CPU PCIe Gen5, DMI Gen5, PCH PCIe Gen1-4, PCH PCIe Gen5",80,120,375,500,80,,,-0.78,0.01,0.001
M*,SL,6,"CNVIO3, TCP DP, TCP TBT5",80,120,375,375,80,,,-0.78,0.01,0.01
M*,SL,6,"CPU USB3.2 Gen1, CPU USB3.2 Gen2, PCH USB3.2 Gen1, PCH USB3.2 Gen2, TCP USB3.2",80,120,450,500,80,,,-0.78,0.002,0.001
M*,SL,6,CSI CPHY,85,170,170,500,80,,,-0.77,0.43,0.001
