Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Data - Any (um),Clock - Any (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 1GHz),"K, Data - Any (%)","K, Clock - Any (%)"
B*,SL,"3, 8","CATERR#, CLINK, CNVi BRI and RGI, CPU and PCH GPIO, DMIC, eSPI, FORCEPR#, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMLink, SoundWire, SPI0 Flash, SVID, THC-SPI, THERMTRIP#, UART",67,75,175,44,,,-0.27,3.87,0.42
B*,SL,"3, 8","Imaging Clock, SUSCLK",67,175,175,44,,,-0.27,0.42,0.42
B*,SL,"3, 8","XTAL, RTC",67,200,1270,44,,,-0.27,0.24,0.01
B*,SL,6,"CATERR#, CLINK, CNVi BRI and RGI, CPU and PCH GPIO, DMIC, eSPI, FORCEPR#, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMLink, SoundWire, SPI0 Flash, SVID, THC-SPI, THERMTRIP#, UART",75,75,175,44,,,-0.25,5.36,0.85
B*,SL,6,"Imaging Clock, SUSCLK",75,175,175,44,,,-0.24,0.85,0.85
B*,SL,6,"XTAL, RTC",75,200,1270,44,,,-0.24,0.54,0.01
M*,MS,"1, 10","CATERR#, CPU and PCH GPIO, DMIC, eSPI, FORCEPR#, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, SMLink, SoundWire, SVID, THC-SPI, THERMTRIP#, UART",125,125,375,44,,,-0.24,-2.5,-1.56
M*,MS,"1, 10",CNVi BRI and RGI,125,250,250,44,,,-0.23,-2.23,-2.23
M*,MS,"1, 10","Imaging Clock, SUSCLK",125,375,375,44,,,-0.23,-1.56,-1.56
M*,MS,"1, 10","CLINK, I3C, SPI0 Flash",125,250,375,44,,,-0.23,-2.23,-1.56
M*,MS,"1, 10","XTAL, RTC",125,200,1775,44,,,-0.23,-2.47,-0.07
M*,SL,"3, 8","CATERR#, CPU and PCH GPIO, DMIC, eSPI, FORCEPR#, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, SMLink, SoundWire, SVID, THC-SPI, THERMTRIP#, UART",67,125,375,44,,,-0.27,1.27,0.011
M*,SL,"3, 8",CNVi BRI and RGI,67,250,250,44,,,-0.27,0.08,0.08
M*,SL,"3, 8","Imaging Clock, SUSCLK",67,375,375,44,,,-0.27,0.011,0.011
M*,SL,"3, 8","CLINK, I3C, SPI0 Flash",67,250,375,44,,,-0.27,0.08,0.011
M*,SL,"3, 8","XTAL, RTC",67,200,1775,44,,,-0.27,0.24,0.01
M*,SL,6,"CATERR#, CPU and PCH GPIO, DMIC, eSPI, FORCEPR#, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, SMLink, SoundWire, SVID, THC-SPI, THERMTRIP#, UART",75,125,375,44,,,-0.24,2.13,0.03
M*,SL,6,CNVi BRI and RGI,75,250,250,44,,,-0.24,0.22,0.22
M*,SL,6,"Imaging Clock, SUSCLK",75,375,375,44,,,-0.24,0.03,0.03
M*,SL,6,"CLINK, I3C, SPI0 Flash",75,250,375,44,,,-0.24,0.22,0.03
M*,SL,6,"XTAL, RTC",75,200,1775,44,,,-0.24,0.54,0.01
