Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Intra-Pair (um),S - ES (um),S - Non-ES (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 5GHz),"K, S - ES (%)","K, S - Non-ES (%)"
B*,SL,"3, 8","PCIe Gen 4, PCIe Gen 5, UFS 4.0",75,88,200,375,78,,,-0.88,0.106,0.002
B*,SL,"3, 8","Differential Clock (Gen 3 and below support), eUSB2, PCIe Gen 1-3, TCP USB 3.2 Type-A",75,88,200,300,78,,,-0.88,0.106,0.012
B*,SL,"3, 8","CSI CPHY, CSI DPHY, HDMI, TCP AUX, TCP DP AUX, eDP",75,88,88,300,78,,,-0.88,1.301,0.012
B*,SL,"3, 8","Differential Clock (Gen 4 support), Differential Clock (Gen 5 support)",75,88,375,500,78,,,-0.88,0.002,0
B*,SL,"3, 8","CNVio3, TCP DP, TCP TBT4, TCP TBT5",75,88,375,375,78,,,-0.88,0.002,0.002
B*,SL,"3, 8","USB 3.2 Gen 1, USB 3.2 Gen 2",75,88,300,300,78,,,-0.88,0.012,0.012
B*,SL,6,"PCIe Gen 4, PCIe Gen 5, UFS 4.0",75,88,200,375,79,,,-0.8,0.242,0.009
B*,SL,6,"CSI CPHY, CSI DPHY, HDMI, TCP AUX, TCP DP AUX, eDP",75,88,88,300,79,,,-0.8,1.925,0.037
B*,SL,6,"Differential Clock (Gen 3 and below support), PCIe Gen 1-3, TCP USB 3.2 Type-A, eUSB2",75,88,200,300,79,,,-0.8,0.242,0.037
B*,SL,6,"Differential Clock (Gen 4 support), Differential Clock (Gen 5 support)",75,88,375,500,79,,,-0.8,0.009,0.001
B*,SL,6,"CNVio3, TCP DP, TCP TBT4, TCP TBT5",75,88,375,375,79,,,-0.8,0.009,0.009
B*,SL,6,"USB 3.2 Gen 1, USB 3.2 Gen 2",75,88,300,300,79,,,-0.8,0.037,0.037
M*,MS,"1, 10","CSI DPHY, PCIe Gen 1-3, TCP AUX, TCP DP AUX, TCP USB 3.2 Type-A, eUSB2",110,100,300,300,80,,,-0.89,-0.262,0.32
M*,MS,"1, 10",Differential Clock (Gen 3 and below support),110,100,300,375,80,,,-0.89,-0.262,0.193
M*,MS,"1, 10","Differential Clock (Gen 4 support), Differential Clock (Gen 5 support)",110,100,500,760,80,,,-0.89,-0.138,0.035
M*,MS,"1, 10","HDMI, PCIe Gen 4, TCP DP, eDP",110,100,500,500,80,,,-0.89,-0.138,0.099
M*,MS,"1, 10","CNVio3, TCP TBT4, TCP TBT5",110,100,800,800,80,,,-0.89,-0.05,0.03
M*,MS,"1, 10","UFS 4.0, USB 3.2 Gen 1, USB 3.2 Gen 2",110,100,750,500,80,,,-0.89,-0.06,0.099
M*,MS,"1, 10","PCIe Gen 5, TCP TBT5 (Post-Channel)",120,130,800,800,80,,,-0.86,-0.062,0.037
M*,MS,"1, 10",CSI CPHY,150,875,875,875,79,,,-0.82,-0.143,0.076
M*,MS,"1, 10",HDMI (Post-Channel),75,140,500,500,100,,,-0.9,-0.133,0.1
M*,SL,"3, 8","CSI DPHY, HDMI, PCIe Gen 1-3, TCP AUX, TCP DP AUX, TCP USB 3.2 Type-A, eDP, eUSB2",75,115,300,300,80,,,-0.87,0.012,0.012
M*,SL,"3, 8",Differential Clock (Gen 3 and below support),75,115,300,375,80,,,-0.87,0.012,0.002
M*,SL,"3, 8","Differential Clock (Gen 4 support), Differential Clock (Gen 5 support)",75,115,500,760,80,,,-0.87,0,0
M*,SL,"3, 8","PCIe Gen 4, PCIe Gen 5",75,115,230,500,80,,,-0.87,0.056,0
M*,SL,"3, 8","CNVio3, TCP DP, TCP TBT4, TCP TBT5, UFS 4.0",75,115,375,375,80,,,-0.87,0.002,0.002
M*,SL,"3, 8","USB 3.2 Gen 1, USB 3.2 Gen 2",75,115,450,500,80,,,-0.87,0,0
M*,SL,"3, 8",CSI CPHY,80,170,170,500,80,,,-0.86,0.213,0
M*,SL,6,"CSI DPHY, HDMI, PCIe Gen 1-3, TCP AUX, TCP DP AUX, TCP USB 3.2 Type-A, eDP, eUSB2",80,120,300,300,80,,,-0.78,0.038,0.038
M*,SL,6,Differential Clock (Gen 3 and below support),80,120,300,375,80,,,-0.78,0.038,0.009
M*,SL,6,"Differential Clock (Gen 4 support), Differential Clock (Gen 5 support)",80,120,500,760,80,,,-0.78,0.001,0
M*,SL,6,"CNVio3, TCP DP, TCP TBT4, TCP TBT5, UFS 4.0",80,120,375,375,80,,,-0.78,0.009,0.009
M*,SL,6,"PCIe Gen 4, PCIe Gen 5",80,120,250,500,80,,,-0.78,0.098,0.001
M*,SL,6,"USB 3.2 Gen 1, USB 3.2 Gen 2",80,120,450,500,80,,,-0.78,0.003,0.001
M*,SL,6,CSI CPHY,85,170,170,500,80,,,-0.77,0.429,0.001
