Trace,Tline Type,Routing,I/O,Trace Width (um),Intra-Pair (um),S - ES,S - Non-ES,Z (Default),Z (Min),Z (Max),A,"K, S - ES","K, S - Non-ES"
M*,SL,12,PCIe Gen 5,94,90,500,500,80,,,,,
B*,MS,"1, 8",(Internal) eUSB2V2,81,88,300,300,91,,,-0.97,-0.19,0.31
B*,SL,"3, 6",(Internal) eUSB2V2,75,88,300,300,78,,,-0.9,0.026,0.026
B*,DSL,3,(Internal) eUSB2V2,75,88,300,300,87,,,-0.83,0.31,0.31
B*,DSL,4,(Internal) eUSB2V2,75,88,300,300,99,,,-0.72,0.65,0.65
M*,MS,"1, 8",(Internal) eUSB2V2,115,95,750,500,80,,,-0.91,-0.07,0.11
M*,SL,"3, 6",(Internal) eUSB2V2,80,140,450,500,80,,,-0.88,0.001,0.001
M*,DSL,3,(Internal) eUSB2V2,105,115,450,500,80,,,-0.78,0.09,0.06
M*,DSL,4,(Internal) eUSB2V2,148,90,500,550,80,,,-0.65,0.11,0.073
B*,MS,"1, 8",CSI CPHY,81,88,88,375,92,,,-0.95,0.649,0.18
