Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Data - Any (um),Clock - Any (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 1GHz),"K, Data - Any (%)","K, Clock - Any (%)"
B*,MS,"1, 8","CLINK, CNVi BRI and RGI, DMIC, eSPI, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SPI0 Flash, SVID, THC-SPI, UART",75,88,175,57,,,-0.26,-1.665,-2.41
B*,MS,"1, 8",Processor Sideband,75,88,88,57,,,-0.26,-1.665,-1.665
B*,MS,"1, 8","Imaging Clock, SUSCLK, UFS Reference Clock",75,175,175,57,,,-0.25,-2.41,-2.41
B*,MS,"1, 8","XTAL, RTC",75,200,1270,57,,,-0.25,-2.394,-0.138
B*,SL,6,"CLINK, CNVi BRI and RGI, DMIC, eSPI, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SPI0 Flash, SVID, THC-SPI, UART",75,88,175,42,,,-0.27,3.69,0.669
B*,SL,6,Processor Sideband,75,88,88,42,,,-0.27,3.69,3.69
B*,SL,6,"Imaging Clock, SUSCLK, UFS Reference Clock",75,175,175,42,,,-0.27,0.669,0.669
B*,SL,6,"XTAL, RTC",75,200,1270,42,,,-0.27,0.411,0.005
B*,DSL,3,"CLINK, CNVi BRI and RGI, DMIC, eSPI, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SPI0 Flash, SVID, THC-SPI, UART",75,88,175,52,,,-0.24,7.795,3.066
B*,DSL,3,Processor Sideband,75,88,88,52,,,-0.24,7.795,7.795
B*,DSL,3,"Imaging Clock, SUSCLK, UFS Reference Clock",75,175,175,52,,,-0.23,3.066,3.066
B*,DSL,3,"XTAL, RTC",75,200,1270,52,,,-0.23,2.399,0.005
B*,DSL,4,"CLINK, CNVi BRI and RGI, DMIC, eSPI, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SPI0 Flash, SVID, THC-SPI, UART",75,88,175,67,,,-0.19,12.136,5.705
B*,DSL,4,Processor Sideband,75,88,88,67,,,-0.19,12.136,12.136
B*,DSL,4,"Imaging Clock, SUSCLK, UFS Reference Clock",75,175,175,67,,,-0.18,5.705,5.705
B*,DSL,4,"XTAL, RTC",75,200,1270,67,,,-0.18,4.61,0.002
M*,MS,"1, 8","DMIC, eSPI, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SVID, THC-SPI, UART",160,125,375,40,36,44,-0.23,-2.882,-1.769
M*,MS,"1, 8",CNVi BRI and RGI,160,250,250,40,36,44,-0.23,-2.494,-2.494
M*,MS,"1, 8",Processor Sideband,160,125,125,40,36,44,-0.23,-2.882,-2.882
M*,MS,"1, 8","Imaging Clock, SUSCLK, UFS Reference Clock",160,375,375,40,36,44,-0.23,-1.769,-1.769
M*,MS,"1, 8","CLINK, I3C, SPI0 Flash",160,250,375,40,36,44,-0.23,-2.494,-1.769
M*,MS,"1, 8","XTAL, RTC",160,200,1775,40,36,44,-0.23,-2.766,-0.074
M*,SL,6,"DMIC, eSPI, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SVID, THC-SPI, UART",85,125,375,40,36,44,-0.26,1.677,0.018
M*,SL,6,CNVi BRI and RGI,85,250,250,40,36,44,-0.26,0.146,0.146
M*,SL,6,Processor Sideband,85,125,125,40,36,44,-0.26,1.677,1.677
M*,SL,6,"Imaging Clock, SUSCLK, UFS Reference Clock",85,375,375,40,36,44,-0.26,0.018,0.018
M*,SL,6,"CLINK, I3C, SPI0 Flash",85,250,375,40,36,44,-0.26,0.146,0.018
M*,SL,6,"XTAL, RTC",85,200,1775,40,36,44,-0.26,0.389,0.006
M*,DSL,3,"DMIC, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SVID, THC-SPI, UART",135,125,375,40,36,44,-0.22,4.326,0.423
M*,DSL,3,CNVi BRI and RGI,135,250,250,40,36,44,-0.22,1.283,1.283
M*,DSL,3,Processor Sideband,135,125,125,40,36,44,-0.22,4.326,4.326
M*,DSL,3,"Imaging Clock, SUSCLK, UFS Reference Clock",135,375,375,40,36,44,-0.22,0.423,0.423
M*,DSL,3,"CLINK, I3C, SPI0 Flash, eSPI",135,250,375,40,36,44,-0.22,1.283,0.423
M*,DSL,3,"XTAL, RTC",135,200,1775,40,36,44,-0.22,2.048,0.006
M*,DSL,4,"DMIC, GSPI, HDA, I2C, I2S, ISH-SPI, LSX, Processor GPIO, SMLink, SoundWire, SVID, THC-SPI, UART",235,125,375,40,36,44,-0.15,5.837,0.683
M*,DSL,4,CNVi BRI and RGI,235,250,250,40,36,44,-0.15,1.979,1.979
M*,DSL,4,Processor Sideband,235,125,125,40,36,44,-0.15,5.837,5.837
M*,DSL,4,"Imaging Clock, SUSCLK, UFS Reference Clock",235,375,375,40,36,44,-0.15,0.683,0.683
M*,DSL,4,"CLINK, I3C, SPI0 Flash, eSPI",235,250,375,40,36,44,-0.15,1.979,0.683
M*,DSL,4,"XTAL, RTC",235,200,1775,40,36,44,-0.15,3.038,0.002
