Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Data - Any (um),Clock - Any (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 1GHz),"K, Data - Any (%)","K, Clock - Any (%)"
B*,MS,"1, 10","CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,58,,,-0.25,-1.18,-2.1
B*,MS,"1, 10",CPU Sideband,75,88,88,58,,,-0.25,-1.18,-1.18
B*,MS,"1, 10","Imaging Clock, SUSCLK",75,175,175,59,,,-0.25,-2.1,-2.1
B*,MS,"1, 10","XTAL, RTC",75,200,1270,59,,,-0.25,-2.13,-0.14
B*,SL,"6, 8","CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,43,,,-0.26,3.72,0.68
B*,SL,"6, 8",CPU Sideband,75,88,88,43,,,-0.26,3.72,3.72
B*,SL,"6, 8","Imaging Clock, SUSCLK",75,175,175,43,,,-0.26,0.68,0.68
B*,SL,8,"XTAL, RTC",75,200,1270,43,,,-0.26,0.42,0.005
B*,DSL,"3, 4","CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,50,,,-0.23,6.4,2
B*,DSL,"3, 4",CPU Sideband,75,88,88,50,,,-0.23,6.4,6.4
B*,DSL,"3, 4","Imaging Clock, SUSCLK",75,175,175,51,,,-0.23,2,2
B*,DSL,"3, 4","XTAL, RTC",75,200,1270,51,,,-0.23,1.44,0.005
M*,MS,"1, 10","CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",165,125,375,40,36,44,-0.21,-2.5,-1.7
M*,MS,"1, 10",CNVi BRI and RGI,165,250,250,40,36,44,-0.21,-2.31,-2.31
M*,MS,"1, 10",CPU Sideband,165,125,125,40,36,44,-0.21,-2.5,-2.5
M*,MS,"1, 10","Imaging Clock, SUSCLK",165,375,375,40,36,44,-0.21,-1.7,-1.7
M*,MS,"1, 10","SPI0 Flash, eSPI",165,250,375,40,36,44,-0.21,-2.31,-1.7
M*,MS,"1, 10","XTAL, RTC",165,200,1775,40,36,44,-0.21,-2.53,-0.073
M*,SL,"6, 8","CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",85,125,375,40,36,44,-0.25,1.7,0.02
M*,SL,"6, 8",CNVi BRI and RGI,85,250,250,40,36,44,-0.25,0.15,0.15
M*,SL,"6, 8",CPU Sideband,85,125,125,40,36,44,-0.25,1.7,1.7
M*,SL,"6, 8","Imaging Clock, SUSCLK",85,375,375,40,36,44,-0.25,0.02,0.02
M*,SL,"6, 8","SPI0 Flash, eSPI",85,250,375,40,36,44,-0.25,0.15,0.02
M*,SL,8,"XTAL, RTC",85,200,1775,40,36,44,-0.25,0.4,0.006
M*,DSL,"3, 4","CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",120,125,375,40,36,44,-0.21,3.22,0.14
M*,DSL,"3, 4",CNVi BRI and RGI,120,250,250,40,36,44,-0.21,0.64,0.64
M*,DSL,"3, 4",CPU Sideband,120,125,125,40,36,44,-0.21,3.22,3.22
M*,DSL,"3, 4","Imaging Clock, SUSCLK",120,375,375,40,36,44,-0.21,0.14,0.14
M*,DSL,"3, 4","SPI0 Flash, eSPI",120,250,375,40,36,44,-0.21,0.64,0.14
M*,DSL,"3, 4","XTAL, RTC",120,200,1775,40,36,44,-0.21,1.21,0.006
