Routing Layer,Description,Tline Type,Description Memory,Tline Type Memory,Thickness (um),EDW,Dielectric Constant,Loss Tangent
,S/M,None,S/M,None,13,,4,0.031
1,"BO, Power",MS,"BO, Power",MS,30,9.6,,
,PP,None,PP,None,60,,3.4,0.013
2,GND,GND/Power,GND,GND/Power,30,,,
,CORE,None,CORE,None,50,,3.6,0.013
3,Power,GND/Power,"BO, Main Route",SL,30,9.6,,
,PP,None,PP,None,60,,3.4,0.013
4,GND,GND/Power,GND,GND/Power,30,9.6,,
,CORE,None,CORE,None,50,,3.6,0.013
5,"BO, Main Route, Power",GND/Power,"BO, Main Route",SL,30,9.6,,
,PP,None,PP,None,60,,3.4,0.013
6,"BO, Main Route, Power",SL,GND,GND/Power,30,9.6,,
,CORE,None,CORE,None,50,,3.6,0.013
7,GND,GND/Power,"Main Route, Power",SL,30,9.6,,
,PP,None,PP,None,60,,3.4,0.013
8,"BO, Main Route, Power",SL,GND,GND/Power,30,9.6,,
,CORE,None,CORE,None,50,,3.6,0.013
9,GND,GND/Power,GND,GND/Power,30,9.6,,
,PP,None,PP,None,60,,3.4,0.013
10,"BO, Main Route, Power",MS,"GND, Power",GND/Power,30,9.6,,
,S/M,None,S/M,None,13,,4,0.031
