Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Intra-Pair (um),S - ES (um),S - Non-ES (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 5GHz),"K, S - ES (%)","K, S - Non-ES (%)"
B*,MS,"1, 8","CNVio2, CNVio3, Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,94,,,-0.98,-0.12,0.31
B*,MS,"1, 8",Differential Clock (Gen4 and Gen5 support),75,88,375,500,94,,,-0.98,-0.15,0.08
B*,MS,"1, 8","CSI DPHY, HDMI TCP, Type-C AUX, eDP",75,88,250,375,94,,,-0.98,-0.18,0.17
B*,MS,"1, 8",PCIe Gen 4,81,88,375,375,91,,,-0.97,-0.16,0.18
B*,MS,"1, 8",PCIe Gen 5,81,88,500,500,91,,,-0.97,-0.108,0.08
B*,MS,"1, 8","DP TCP, Type-C TBT+USB+DP",81,88,500,500,91,,,-0.97,-0.11,0.08
B*,MS,"1, 8",USB3.2,81,88,300,300,91,,,-0.97,-0.19,0.31
B*,SL,"3, 6","CNVio2, CNVio3, Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,78,,,-0.9,0.19,0.026
B*,SL,"3, 6",Differential Clock (Gen4 and Gen5 support),75,88,375,500,78,,,-0.9,0.006,0.001
B*,SL,"3, 6","CSI DPHY, HDMI TCP, Type-C AUX, eDP",75,88,88,300,78,,,-0.9,1.71,0.026
B*,SL,"3, 6","PCIe Gen 4, PCIe Gen 5",75,88,230,500,78,,,-0.9,0.1,0.001
B*,SL,"3, 6","DP TCP, Type-C TBT+USB+DP",75,88,375,375,78,,,-0.9,0.006,0.006
B*,SL,"3, 6",USB3.2,75,88,300,300,78,,,-0.9,0.026,0.026
B*,DSL,3,"Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,87,,,-0.83,0.81,0.31
B*,DSL,3,Differential Clock (Gen4 and Gen5 support),75,88,375,500,87,,,-0.83,0.16,0.05
