Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Data - Any (um),Clock - Any (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 1GHz),"K, Data - Any (%)","K, Clock - Any (%)"
B*,MS,"1, 8","CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,57,,,-0.26,-1.67,-2.41
B*,MS,"1, 8",CPU Sideband,75,88,88,57,,,-0.26,-1.67,-1.67
B*,MS,"1, 8","Imaging Clock, SUSCLK",75,175,175,57,,,-0.26,-2.41,-2.41
B*,MS,"1, 8","XTAL, RTC",75,200,1270,57,,,-0.26,-2.4,-0.14
B*,SL,6,"CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,42,,,-0.28,3.7,0.7
B*,SL,6,CPU Sideband,75,88,88,42,,,-0.28,3.7,3.7
B*,SL,6,"Imaging Clock, SUSCLK",75,175,175,42,,,-0.28,0.7,0.7
B*,SL,6,"XTAL, RTC",75,200,1270,42,,,-0.28,0.42,0.01
B*,DSL,3,"CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,52,,,-0.24,7.8,3.07
B*,DSL,3,CPU Sideband,75,88,88,52,,,-0.24,7.8,7.8
B*,DSL,3,"Imaging Clock, SUSCLK",75,175,175,52,,,-0.24,3.07,3.07
B*,DSL,3,"XTAL, RTC",75,200,1270,52,,,-0.24,2.4,0.005
B*,DSL,4,"CLINK, CNVi BRI and RGI, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SPI0 Flash, SVID, SoundWire, THC-SPI, UART, eSPI",75,88,175,67,,,-0.19,12.2,5.71
B*,DSL,4,CPU Sideband,75,88,88,67,,,-0.19,12.2,12.2
B*,DSL,4,"Imaging Clock, SUSCLK",75,175,175,67,,,-0.19,5.71,5.71
B*,DSL,4,"XTAL, RTC",75,200,1270,67,,,-0.19,4.61,0.002
M*,MS,"1, 8","CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",160,125,375,40,36,44,-0.23,-2.89,-1.77
M*,MS,"1, 8",CNVi BRI and RGI,160,250,250,40,36,44,-0.23,-2.5,-2.5
M*,MS,"1, 8",CPU Sideband,160,125,125,40,36,44,-0.23,-2.89,-2.89
M*,MS,"1, 8","Imaging Clock, SUSCLK",160,375,375,40,36,44,-0.23,-1.77,-1.77
M*,MS,"1, 8","SPI0 Flash, eSPI",160,250,375,40,36,44,-0.23,-2.5,-1.77
M*,MS,"1, 8","XTAL, RTC",160,200,1775,40,36,44,-0.23,-2.77,-0.08
M*,SL,6,"CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",85,125,375,40,36,44,-0.27,1.68,0.02
M*,SL,6,CNVi BRI and RGI,85,250,250,40,36,44,-0.27,0.15,0.15
M*,SL,6,CPU Sideband,85,125,125,40,36,44,-0.27,1.68,1.68
M*,SL,6,"Imaging Clock, SUSCLK",85,375,375,40,36,44,-0.27,0.02,0.02
M*,SL,6,"SPI0 Flash, eSPI",85,250,375,40,36,44,-0.27,0.15,0.02
M*,SL,6,"XTAL, RTC",85,200,1775,40,36,44,-0.27,0.39,0.006
M*,DSL,3,"CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",135,125,375,40,36,44,-0.23,4.33,0.43
M*,DSL,3,CNVi BRI and RGI,135,250,250,40,36,44,-0.23,1.29,1.29
M*,DSL,3,CPU Sideband,135,125,125,40,36,44,-0.23,4.33,4.33
M*,DSL,3,"Imaging Clock, SUSCLK",135,375,375,40,36,44,-0.23,0.43,0.43
M*,DSL,3,"SPI0 Flash, eSPI",135,250,375,40,36,44,-0.23,1.29,0.43
M*,DSL,3,"XTAL, RTC",135,200,1775,40,36,44,-0.23,2.05,0.006
M*,DSL,4,"CLINK, CPU GPIO, DMIC, GSPI, HDA, I2C, I2S, I3C, ISH-SPI, LSX, SMBus 2.0/SMLink, SVID, SoundWire, THC-SPI, UART",235,125,375,40,36,44,-0.15,5.84,0.69
M*,DSL,4,CNVi BRI and RGI,235,250,250,40,36,44,-0.15,1.98,1.98
M*,DSL,4,CPU Sideband,235,125,125,40,36,44,-0.15,5.84,5.84
M*,DSL,4,"Imaging Clock, SUSCLK",235,375,375,40,36,44,-0.15,0.69,0.69
M*,DSL,4,"SPI0 Flash, eSPI",235,250,375,40,36,44,-0.15,1.98,0.69
M*,DSL,4,"XTAL, RTC",235,200,1775,40,36,44,-0.15,3.04,0.002
