Trace,Tline Type,Routing Layers,I/O,Trace Width (um),Intra-Pair (um),S - ES (um),S - Non-ES (um),Z (Default) (ohm),Z (Min) (ohm),Z (Max) (ohm),A (dB/inch @ 5GHz),"K, S - ES (%)","K, S - Non-ES (%)"
B*,SL,"3, 8","CNVio2, CNVio3, Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,78,,,-0.88,0.11,0.012
B*,SL,"3, 8",Differential Clock (Gen4 and Gen5 support),75,88,375,500,78,,,-0.88,0.002,0
B*,SL,"3, 8","CSI DPHY, HDMI TCP, Type-C AUX, eDP",75,88,88,300,78,,,-0.88,1.3,0.012
B*,SL,"3, 8","PCIe Gen 4, PCIe Gen 5",60,70,200,375,83,,,-0.916,0.113,0.002
B*,SL,"3, 8","DP TCP, Type-C TBT+USB+DP",75,88,375,375,78,,,-0.88,0.002,0.002
B*,SL,"3, 8",USB3.2,75,88,300,300,78,,,-0.88,0.012,0.012
B*,SL,6,"CNVio2, Differential Clock (Gen3 and below support), PCIe Gen 1-3, Type-C USB, Type-C USB+DP, USB2.0",75,88,200,300,80,,,-0.8,0.24,0.04
B*,SL,6,Differential Clock (Gen4 and Gen5 support),75,88,375,500,80,,,-0.8,0.01,0.001
B*,SL,6,"CSI DPHY, HDMI TCP, Type-C AUX, eDP",75,88,88,300,80,,,-0.8,1.93,0.04
B*,SL,6,"PCIe Gen 4, PCIe Gen 5",70,75,200,375,80,,,-0.83,0.24,0.01
B*,SL,6,"DP TCP, Type-C TBT+USB+DP",75,88,375,375,80,,,-0.8,0.01,0.01
B*,SL,6,USB3.2,75,88,300,300,80,,,-0.8,0.04,0.04
M*,MS,"1, 10","CNVio2, CSI DPHY, PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0",110,100,300,300,80,,,-0.89,-0.26,0.32
M*,MS,"1, 10",Differential Clock (Gen3 and below support),110,100,300,375,80,,,-0.89,-0.26,0.19
M*,MS,"1, 10",Differential Clock (Gen4 and Gen5 support),110,100,500,760,80,,,-0.89,-0.14,0.04
M*,MS,"1, 10","HDMI TCP, PCIe Gen 4, eDP",110,100,500,500,80,,,-0.89,-0.14,0.1
M*,MS,"1, 10",PCIe Gen 5,120,130,800,800,80,,,-0.86,-0.06,0.04
M*,MS,"1, 10","DP TCP, Type-C TBT+USB+DP",110,100,500,500,80,,,-0.89,-0.14,0.1
M*,MS,"1, 10",USB3.2,110,100,750,500,80,,,-0.89,-0.06,0.1
M*,SL,"3, 8","CNVio2, CSI DPHY, HDMI TCP, PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0, eDP",75,115,300,300,80,,,-0.87,0.012,0.012
M*,SL,"3, 8",Differential Clock (Gen3 and below support),75,115,300,375,80,,,-0.87,0.012,0.002
M*,SL,"3, 8",Differential Clock (Gen4 and Gen5 support),75,115,500,760,80,,,-0.87,0,0
M*,SL,"3, 8","PCIe Gen 4, PCIe Gen 5",75,115,230,500,80,,,-0.87,0.056,0
M*,SL,"3, 8","DP TCP, Type-C TBT+USB+DP",75,115,375,375,80,,,-0.87,0.002,0.002
M*,SL,"3, 8",USB3.2,75,115,450,500,80,,,-0.87,0,0
M*,SL,6,"CNVio2, CSI DPHY, HDMI TCP, PCIe Gen 1-3, Type-C AUX, Type-C USB, Type-C USB+DP, USB2.0, eDP",80,120,300,300,80,,,-0.78,0.04,0.04
M*,SL,6,Differential Clock (Gen3 and below support),80,120,300,375,80,,,-0.78,0.04,0.01
M*,SL,6,Differential Clock (Gen4 and Gen5 support),80,120,500,760,80,,,-0.78,0.001,0
M*,SL,6,"PCIe Gen 4, PCIe Gen 5",80,120,230,500,80,,,-0.78,0.141,0.001
M*,SL,6,"DP TCP, Type-C TBT+USB+DP",80,120,375,375,80,,,-0.78,0.01,0.01
M*,SL,6,USB3.2,80,120,450,500,80,,,-0.78,0.003,0.001
M*,SL,6,CSI CPHY,85,170,170,500,80,,,-0.77,0.425,0.001
M*,SL,"3, 8",CSI CPHY,80,170,170,500,80,,,-0.86,0.213,0
B*,SL,"3, 8",CSI CPHY,75,88,88,300,78,,,-0.88,1.3,0.012
B*,SL,6,CSI CPHY,75,88,88,300,80,,,-0.8,1.93,0.04
M*,MS,"1, 10",CNVio3,110,100,375,750,80,,,-0.89,-0.2,0.035
M*,SL,"3, 8",CNVio3,75,115,375,750,80,,,-0.93,0.002,0
M*,SL,6,CNVio3,80,120,375,750,80,,,-0.84,0.01,0
